objID,petroR50_u,petroR50_g,petroR50_r,petroR50_i,petroR50_z,petroR90_u,petroR90_g,petroR90_r,petroR90_i,petroR90_z,mCr4_u,mCr4_g,mCr4_r,mCr4_i,mCr4_z,u,g,r,i,z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
587725775065842103,2.868134,4.891785,4.526943,4.377106,4.094883,4.514973,11.345592,10.91935,10.992128,9.754511,0.654801,2.191608,2.216501,2.233993,2.198721,19.064001,17.085886,16.114864,15.578237,15.195238,19.064001,17.085886,16.114864,15.578237,15.195238,19.705639,17.012119,16.116488,15.609409,15.304544
587725773991510381,4.550126,3.431716,1.722134,1.733466,1.747143,8.062084,7.145765,4.760668,4.782327,4.247116,2.260954,2.253787,2.266271,2.35661,2.322717,22.710217,21.419338,19.160839,18.348854,17.895494,22.710217,21.419338,19.160839,18.348854,17.895494,20.995234,20.56031,19.136347,18.306263,17.833357
587738066189418640,0.97611,2.418224,2.442425,2.513412,2.05129,1.782074,7.398669,6.685977,6.417779,5.197735,1.913086,2.327319,2.380569,2.407584,2.365676,20.702522,19.122246,17.685482,17.114775,16.770992,20.702522,19.122246,17.685482,17.114775,16.770992,21.790508,19.216059,17.77265,17.17734,16.986135
587728906097131662,1.634959,1.857816,1.722267,1.685935,1.678268,3.26397,4.677858,4.628098,4.494341,4.512942,2.135237,2.22447,2.282353,2.25846,2.264998,19.882341,18.066465,17.207747,16.781002,16.428528,19.882341,18.066465,17.207747,16.781002,16.428528,19.968058,17.997313,17.149164,16.748276,16.428967
587725775065841990,1.307824,1.332952,1.325493,1.268411,1.221673,3.955412,3.271726,3.332295,3.268959,3.425368,2.079479,2.272447,2.31637,2.32917,2.3298,20.420881,18.644623,17.693336,17.245098,16.896955,20.420881,18.644623,17.693336,17.245098,16.896955,20.484587,18.76894,17.7997,17.37327,17.061069
587728906634199287,5.205137,4.646441,4.351509,4.258874,3.726251,11.203966,8.674383,8.936256,8.971215,7.339108,2.11372,2.306352,2.433177,2.463593,2.478516,18.489899,17.098206,16.360056,15.949471,15.687852,18.489899,17.098206,16.360056,15.949471,15.687852,18.245857,17.057716,16.369717,15.976405,15.869545
587737808490725704,-9999,1.804501,2.061596,2.195643,1.840758,-9999,4.569947,6.172616,5.988864,5.544902,0.581211,2.34544,2.366194,2.371095,2.312716,21.326468,18.905045,17.487272,16.922916,16.590563,21.326468,18.905045,17.487272,16.922916,16.590563,26.770401,19.064001,17.554867,16.965929,16.747164
587728670142497199,2.327706,2.697636,2.463269,2.354563,2.070326,4.602069,6.236931,6.264232,6.147874,5.320157,2.116072,2.34836,2.418095,2.40067,2.340674,19.457054,18.089911,17.133625,16.639732,16.272316,19.457054,18.089911,17.133625,16.639732,16.272316,19.780346,18.289827,17.39983,16.942268,16.69676
587738196648460554,1.523955,1.514681,1.461975,1.458582,1.490833,2.728867,3.088926,3.169044,3.150232,3.235699,2.099488,2.088514,2.138532,2.173397,2.131155,19.550716,18.534948,17.853415,17.403486,17.170378,19.550716,18.534948,17.853415,17.403486,17.170378,19.574318,18.534206,17.860638,17.433687,17.191912
587725775065842132,2.39374,2.390796,2.402973,2.332543,2.133722,7.989186,5.378544,5.314098,5.064481,3.902324,1.903496,2.076687,2.1214,2.162531,2.209698,19.275,17.958591,17.348734,16.95369,16.69487,19.275,17.958591,17.348734,16.95369,16.69487,19.151119,17.900997,17.299175,16.938572,16.841072
587728669874126911,6.849454,8.261947,7.685124,7.27853,4.634948,12.91319,15.090652,15.429981,14.595568,8.758765,2.468486,2.515766,2.531456,2.510962,2.446854,16.840307,15.644006,15.179391,14.920587,14.795198,16.840307,15.644006,15.179391,14.920587,14.795198,17.379702,15.96901,15.562697,15.364673,15.709954
587738196111262199,2.768663,3.099324,2.889252,2.921051,3.088456,4.215652,5.156249,4.910911,5.619313,6.35009,1.942575,1.943323,2.061393,2.156113,2.194019,19.527891,18.397434,17.746817,17.358232,17.124615,19.527891,18.397434,17.746817,17.358232,17.124615,19.677662,18.434034,17.848803,17.450977,17.127348
587738195036668232,2.343164,1.416211,1.500058,1.526126,1.546559,6.443725,4.210579,4.393648,4.427087,4.54261,1.835186,2.333428,2.322796,2.340744,2.322399,21.189945,19.037724,17.805119,17.276577,16.899624,21.189945,19.037724,17.805119,17.276577,16.899624,20.990009,19.133062,17.860073,17.345781,16.94182
587725551727935995,3.184505,2.79514,2.554993,2.568367,2.52814,8.690573,7.193267,6.683165,7.142204,7.57915,2.139614,2.285234,2.316334,2.331116,2.344461,19.259342,17.687803,16.930004,16.488754,16.137962,19.259342,17.687803,16.930004,16.488754,16.137962,19.062855,17.608765,16.900408,16.44964,16.093311
587738195574063509,4.045855,3.069731,2.595094,2.454338,2.339317,10.615901,8.804173,7.242142,7.354704,6.753683,0.585017,2.389861,2.421499,2.401905,2.366148,19.895395,18.288385,17.307201,16.771145,16.299248,19.895395,18.288385,17.307201,16.771145,16.299248,19.732121,18.469891,17.612404,17.090105,16.668421
587738067801211165,5.771696,3.218201,2.753818,2.495284,1.930492,10.960197,7.181121,6.170423,5.84853,4.582082,2.195803,2.615803,2.536055,2.481144,2.471486,20.275272,18.909561,17.767248,17.253733,16.953772,20.275272,18.909561,17.767248,17.253733,16.953772,19.557091,18.907679,17.974495,17.544189,17.445528
587737826745188689,3.612201,2.991832,2.791234,2.641804,2.608568,8.379254,6.485421,6.102345,5.602387,5.439247,2.13538,2.272049,2.336841,2.366093,2.472598,19.018818,17.793823,17.296206,16.973347,16.769005,19.018818,17.793823,17.296206,16.973347,16.769005,18.75687,17.749487,17.308714,17.037022,16.854185
587738067264012594,3.115005,2.852566,2.630333,2.487433,2.447926,6.145122,6.419936,6.447711,6.032324,6.469805,2.174401,2.350231,2.470486,2.497594,2.458146,19.169724,17.494234,16.626085,16.162203,15.808299,19.169724,17.494234,16.626085,16.162203,15.808299,19.209513,17.705896,16.902506,16.479372,16.146139
587725774528709057,1.590257,1.246181,1.233557,1.191433,1.181404,3.836457,3.438375,3.453201,3.477134,3.286324,2.453008,2.289425,2.273905,2.328014,2.294127,20.547298,18.500534,17.489698,17.036356,16.648121,20.547298,18.500534,17.489698,17.036356,16.648121,20.432734,18.569145,17.556526,17.105091,16.744341
587725774528643176,1.278728,1.34333,1.353644,1.317034,1.293433,3.147962,3.277568,3.33846,3.333115,3.24469,2.088707,2.125305,2.162691,2.173595,2.166855,18.406223,17.36117,16.8932,16.497845,16.324286,18.406223,17.36117,16.8932,16.497845,16.324286,18.418516,17.324064,16.843353,16.450661,16.298395
587728669874192439,1.927805,2.25691,2.191365,2.140859,2.120294,3.424571,4.413543,4.413009,4.233026,4.085552,0.664739,2.135334,2.184967,2.23175,2.288636,19.635153,18.352152,17.670338,17.2988,17.045012,19.635153,18.352152,17.670338,17.2988,17.045012,19.850794,18.382084,17.70422,17.358301,17.144203
587725551728001225,1.456703,1.709634,1.662325,1.657872,1.586504,3.23867,4.115553,4.109751,4.058339,3.934518,2.313137,2.29353,2.358647,2.383338,2.391159,19.752531,17.969687,17.079294,16.667171,16.34334,19.752531,17.969687,17.079294,16.667171,16.34334,20.055397,18.135078,17.216398,16.816835,16.51981
