objID,petroR50_u,petroR50_g,petroR50_r,petroR50_i,petroR50_z,petroR90_u,petroR90_g,petroR90_r,petroR90_i,petroR90_z,mCr4_u,mCr4_g,mCr4_r,mCr4_i,mCr4_z,u,g,r,i,z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
587738195040862502,1.41052,1.66942,1.683376,1.623547,1.555376,6.378799,4.984572,5.24085,4.909655,4.921755,2.059691,2.277411,2.283674,2.302114,2.30744,20.465096,18.357794,17.196972,16.714893,16.300924,20.465096,18.357794,17.196972,16.714893,16.300924,20.657646,18.405794,17.241014,16.794651,16.410156
587731521199145138,3.843496,4.683476,4.383116,4.145749,4.11588,9.392512,10.202662,9.938397,9.696491,9.81041,2.020852,2.206428,2.251393,2.263061,2.275965,19.192419,17.385242,16.43187,15.904294,15.522617,19.192419,17.385242,16.43187,15.904294,15.522617,19.240898,17.354158,16.444929,15.958782,15.58987
587738067268075904,1.703536,2.347545,2.307432,2.392284,2.172817,4.607774,7.110076,7.103045,7.354254,7.084164,2.209619,2.279908,2.300444,2.305006,2.33787,19.395063,17.2696,16.228447,15.736378,15.350867,19.395063,17.2696,16.228447,15.736378,15.350867,19.867334,17.455372,16.419205,15.926272,15.591683
587738371669426191,0.878239,0.810753,0.822403,0.793281,0.76748,1.903913,1.82115,1.859345,1.813969,1.782365,2.156392,2.148831,2.244446,2.290045,2.31059,16.750113,15.685684,15.37646,15.293106,15.297997,16.750113,15.685684,15.37646,15.293106,15.297997,16.772791,15.700317,15.414607,15.326035,15.32167
587732157389799727,2.314055,2.641064,2.442615,2.414098,2.46875,4.845116,5.714347,5.241402,5.187763,5.270389,1.96758,2.295928,2.410887,2.407776,2.3551,20.023973,18.432409,17.478497,17.050898,16.610117,20.023973,18.432409,17.478497,17.050898,16.610117,20.026461,18.380074,17.4674,17.043936,16.605185
587732157389799705,2.829057,2.589458,2.424424,2.357276,2.174357,6.441999,6.502442,6.409225,6.300102,5.429675,2.345656,2.43219,2.487274,2.483438,2.47196,19.490183,17.656773,16.712187,16.229895,15.840892,19.490183,17.656773,16.712187,16.229895,15.840892,19.547789,17.835043,16.910301,16.44833,16.143497
587739407829696878,5.193378,3.408841,2.804406,2.777956,2.415749,9.768064,6.977757,6.351384,6.255056,5.421033,0.586941,2.409418,2.377798,2.415025,2.410786,20.051891,18.520109,17.632448,17.201992,16.935045,20.051891,18.520109,17.632448,17.201992,16.935045,19.30419,18.241182,17.545918,17.126179,17.009371
587738068342341820,1.729531,2.133017,2.348436,2.340566,2.214908,5.236049,6.271557,6.483848,6.693745,5.947093,2.308639,2.351441,2.393699,2.434958,2.411709,19.048063,17.933367,17.350763,16.990997,16.791086,19.048063,17.933367,17.350763,16.990997,16.791086,19.436615,18.117811,17.46567,17.097322,16.954624
587727865645039827,2.180071,2.145016,1.99101,1.992948,1.94034,5.058681,5.322714,5.123466,5.125531,5.16858,0.701964,2.236301,2.256994,2.28052,2.25144,19.946388,18.465521,17.6952,17.275047,17.016748,19.946388,18.465521,17.6952,17.275047,17.016748,19.777206,18.329449,17.610945,17.195055,16.964092
587731680112017632,1.615498,2.332532,2.606633,2.472035,2.300033,3.070203,7.982366,7.986744,7.895943,7.19246,2.029197,2.323848,2.402172,2.364758,2.380131,20.751423,18.272743,17.032291,16.556993,16.165337,20.751423,18.272743,17.032291,16.556993,16.165337,21.283905,18.394367,17.105865,16.67959,16.297071
587725773995704601,1.257469,1.288709,1.306576,1.290391,1.329501,2.466041,3.409094,3.451734,3.579584,3.747093,2.271206,2.273134,2.248284,2.288118,2.346126,20.325775,18.320528,17.401705,17.000128,16.703604,20.325775,18.320528,17.401705,17.000128,16.703604,20.385704,18.333813,17.413324,17.00337,16.66778
587731680111952176,2.35894,2.636371,2.624734,2.528146,2.394833,4.325892,5.536603,5.633966,5.837539,6.180615,1.788512,2.111513,2.211302,2.188067,2.25018,19.873949,18.650091,17.760393,17.304119,16.983036,19.873949,18.650091,17.760393,17.304119,16.983036,20.023056,18.609503,17.779367,17.33353,17.045422
587741387272553172,7.215997,5.955607,5.30991,4.993485,2.808377,22.704956,12.695167,11.952276,10.503648,4.422481,1.718062,1.926659,2.05509,2.038501,0.504312,19.140816,17.813032,17.521538,17.328598,17.638695,19.140816,17.813032,17.521538,17.328598,17.638695,18.976772,17.818064,17.613926,17.466238,18.349159
587738066730877150,2.883315,3.044646,2.573234,2.418556,2.461346,5.076466,7.121986,6.106874,5.628967,6.164665,2.226776,2.342374,2.368711,2.401627,2.36063,19.680069,18.499447,17.762449,17.384064,17.054443,19.680069,18.499447,17.762449,17.384064,17.054443,19.534451,18.318588,17.692406,17.365232,17.053625
