objID,petroR50_u,petroR50_g,petroR50_r,petroR50_i,petroR50_z,petroR90_u,petroR90_g,petroR90_r,petroR90_i,petroR90_z,mCr4_u,mCr4_g,mCr4_r,mCr4_i,mCr4_z,u,g,r,i,z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
587726877529539400,1.169462,1.716572,1.740634,1.680133,1.772877,1.972159,4.549929,5.104446,5.067825,5.585365,2.147893,2.33701,2.339707,2.336431,2.348817,20.888912,18.945639,17.681768,17.171316,16.794586,20.888912,18.945639,17.681768,17.171316,16.794586,21.503046,19.008398,17.721678,17.22283,16.815159
587726877529539519,2.065319,1.292034,1.266126,1.168806,1.162847,4.908491,3.840788,4.112889,4.160228,4.192398,2.063555,2.202653,2.227676,2.198089,2.171853,20.585804,18.752026,17.692219,17.254625,16.952394,20.585804,18.752026,17.692219,17.254625,16.952394,20.239359,18.749233,17.659624,17.244705,16.996862
587727212267700246,1.499381,2.077268,2.060791,2.080029,1.840851,3.119956,5.020673,5.374378,5.521882,4.451389,2.440332,2.350095,2.358293,2.384619,2.327163,19.785044,17.843185,16.845947,16.356703,16.010891,19.785044,17.843185,16.845947,16.356703,16.010891,20.305372,18.098825,17.089487,16.591961,16.343851
587726878066409747,-9999,23.855629,17.812027,20.409229,13.070882,-9999,49.06905,39.160378,45.543594,34.680042,0.713317,2.24942,2.214995,2.267584,2.269357,18.765917,16.846043,15.472403,15.008398,14.530894,18.765917,16.846043,15.472403,15.008398,14.530894,30.698029,16.25396,15.264478,14.542318,14.459265
587726877261169281,2.490466,2.452338,2.446169,2.300621,2.243427,4.27807,4.396524,5.000004,4.508116,4.159755,2.127288,2.150494,2.205138,2.272621,2.364356,19.49732,18.244297,17.737213,17.401344,17.273699,19.49732,18.244297,17.737213,17.401344,17.273699,19.497776,18.279478,17.740437,17.462523,17.380554
587726878066409858,2.349015,1.832546,1.805068,1.717948,1.78837,7.163618,4.848195,5.090196,4.740237,5.278916,2.130957,2.289412,2.310757,2.342194,2.365549,19.85429,18.346468,17.334116,16.861277,16.494808,19.85429,18.346468,17.334116,16.861277,16.494808,19.765051,18.512575,17.498257,17.053503,16.675415
587727214146683780,3.147683,2.326837,2.264639,2.272024,2.350074,9.312224,6.469269,6.232937,6.413933,7.010784,2.489001,2.380493,2.372017,2.382809,2.381144,18.807014,16.892256,15.965846,15.533636,15.178228,18.807014,16.892256,15.965846,15.533636,15.178228,18.626659,16.965454,16.041992,15.609821,15.248888
587727213609813028,2.74823,2.093878,1.922761,1.943091,2.019341,6.024561,4.568048,4.598273,4.770243,4.79447,2.262694,2.380001,2.401111,2.442571,2.415483,19.658014,18.06885,17.188696,16.766148,16.376661,19.658014,18.06885,17.188696,16.766148,16.376661,19.49148,18.308449,17.484529,17.066299,16.664324
587726877261168933,0.86987,0.829011,0.758986,0.731207,0.778169,1.71753,1.655363,1.530498,1.497463,1.51893,2.023672,2.025755,1.98338,1.964709,1.938588,17.552204,15.883909,15.25041,15.037879,14.927347,17.552204,15.883909,15.25041,15.037879,14.927347,17.598152,15.913499,15.263683,15.037395,14.932413
587727212267701096,0.755556,0.758891,0.965766,1.19889,0.993317,1.641176,2.138086,2.660322,3.577935,3.521881,2.195246,2.178049,2.286573,2.280589,2.287384,19.853146,19.556734,18.943716,18.64715,17.98576,19.853146,19.556734,18.943716,18.64715,17.98576,20.136354,19.735268,18.916576,18.425699,17.93475
587727212804571375,1.154848,2.224661,1.91694,2.307284,1.868683,3.68464,3.950177,3.282772,4.198492,3.451235,1.653472,2.068389,2.406921,2.279617,2.373704,22.472103,20.715073,20.260677,18.646975,18.085302,22.472103,20.715073,20.260677,18.646975,18.085302,22.119524,20.733521,20.493128,18.61466,18.420658
