objID,petroR50_u,petroR50_g,petroR50_r,petroR50_i,petroR50_z,petroR90_u,petroR90_g,petroR90_r,petroR90_i,petroR90_z,mCr4_u,mCr4_g,mCr4_r,mCr4_i,mCr4_z,u,g,r,i,z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
587724242844057704,2.104647,2.349804,2.2733,2.131925,2.243069,3.425945,4.810432,4.624791,4.216949,4.75216,2.05221,2.20971,2.291417,2.30207,2.321714,19.682949,18.343573,17.565636,17.12849,16.861115,19.682949,18.343573,17.565636,17.12849,16.861115,19.839813,18.312971,17.576689,17.20553,16.904085
587724241233379354,1.850557,2.676517,2.431053,2.317346,2.107776,3.328227,7.506235,6.654478,6.288799,5.376289,2.232473,2.378417,2.40768,2.377831,2.372829,19.581001,17.469872,16.329367,15.83293,15.445061,19.581001,17.469872,16.329367,15.83293,15.445061,20.114895,17.599598,16.532312,16.086887,15.770968
587727179548000364,0.931368,0.872627,0.83654,0.81934,0.845105,2.301114,1.892718,1.826699,1.847202,1.575171,2.150645,2.11221,2.184215,2.180664,2.107204,20.017658,19.37207,19.011208,18.744379,18.742315,20.017658,19.37207,19.011208,18.744379,18.742315,20.026653,19.429216,19.065302,18.795954,18.804302
588015508220608593,4.20198,3.117913,3.059002,3.041062,2.867191,11.353049,10.379524,10.430304,10.467011,9.988454,2.260785,2.312044,2.310462,2.318638,2.310867,17.973007,15.860132,14.817227,14.291753,13.878735,17.973007,15.860132,14.817227,14.291753,13.878735,17.833395,15.885029,14.846832,14.323772,13.937318
587731512085708900,6.138694,2.129716,1.915201,1.948594,1.636888,8.76748,6.165258,5.788002,5.712203,4.727955,1.511636,2.292849,2.325759,2.346494,2.354994,21.227232,19.160543,17.78742,17.154915,16.61054,21.227232,19.160543,17.78742,17.154915,16.61054,21.593662,19.178076,17.873549,17.247408,16.822109
587727180621807742,1.28095,1.419563,1.416943,1.37933,1.394904,2.266632,3.229892,3.354893,3.251064,3.524169,2.043988,2.188865,2.215269,2.190041,2.216743,19.709541,18.318304,17.513165,17.067581,16.769819,19.709541,18.318304,17.513165,17.067581,16.769819,19.81362,18.287991,17.479151,17.061024,16.756483
588015508220608724,2.424169,2.075776,2.041358,1.977447,1.913471,6.586753,5.163853,4.75655,4.613525,4.538224,2.186743,2.171633,2.228569,2.223165,2.22697,19.693581,18.291752,17.496914,17.02693,16.685854,19.693581,18.291752,17.496914,17.02693,16.685854,19.486038,18.270866,17.497101,17.062275,16.737583
587731512085708852,2.897067,1.868914,1.786116,1.801637,1.775627,7.119627,5.001256,5.302836,5.401928,5.51637,1.823687,2.353637,2.35646,2.330479,2.287171,21.107927,18.98941,17.786177,17.220953,16.809521,21.107927,18.98941,17.786177,17.220953,16.809521,20.742672,19.066837,17.86211,17.303759,16.89086
587727180621807658,0.02092,1.177039,1.495127,1.3419,1.312691,0.038028,3.170355,3.911818,3.77868,2.838805,2.232254,2.130944,2.307379,2.192783,2.213336,22.813871,21.185219,19.366903,18.547188,18.082619,22.813871,21.185219,19.366903,18.547188,18.082619,24.632494,21.508406,19.494953,18.761353,18.332962
587727177937322161,1.503735,1.284927,1.187525,1.147308,1.219364,4.255512,3.321055,3.446996,3.405684,3.500257,0.826138,2.262779,2.23406,2.26249,2.234195,20.441353,18.534636,17.491032,17.038324,16.686073,20.441353,18.534636,17.491032,17.038324,16.686073,20.327677,18.55056,17.505095,17.064262,16.695881
588015508220674193,1.944154,1.934277,2.002213,1.994029,2.007368,4.574927,4.893155,4.978219,4.928016,4.581003,2.287266,2.248711,2.264864,2.262067,2.250177,19.656628,18.0581,17.137341,16.656975,16.228842,19.656628,18.0581,17.137341,16.656975,16.228842,19.702328,18.059639,17.116301,16.646006,16.230499
587724241233379504,2.652707,2.09269,2.028393,2.03502,2.066082,7.328249,5.791894,5.564562,5.654522,5.427856,2.110097,2.352036,2.370844,2.340888,2.358497,20.274477,18.241507,16.895407,16.365587,16.01445,20.274477,18.241507,16.895407,16.365587,16.01445,20.152479,18.418489,17.085886,16.566704,16.19558
587727180621807770,2.031637,2.547246,2.349467,2.223973,1.807202,5.595664,6.552682,5.88096,5.730916,4.593762,2.492308,2.399114,2.427183,2.390733,2.322203,19.655609,18.161558,17.304689,16.810129,16.561504,19.655609,18.161558,17.304689,16.810129,16.561504,20.060867,18.332268,17.532688,17.08909,17.009916
587724241770315880,2.583296,2.157743,1.921828,1.955303,2.074202,5.811748,4.738524,4.483954,4.779942,4.926237,2.313186,2.339756,2.447219,2.421324,2.377097,19.995466,18.309078,17.441063,16.997507,16.661852,19.995466,18.309078,17.441063,16.997507,16.661852,19.767534,18.41256,17.640152,17.178209,16.792715
588015510368157938,4.603961,1.746788,1.720019,1.752898,2.018961,6.254924,4.52809,5.440896,5.579241,5.867158,1.968496,2.312956,2.306309,2.294986,2.307515,21.684191,19.460176,18.084856,17.526249,17.096487,21.684191,19.460176,18.084856,17.526249,17.096487,21.46382,19.477795,18.10194,17.542637,17.024679
587731511548838017,1.889666,1.263174,1.188018,1.20988,1.157564,3.531586,3.431107,3.493994,3.604694,3.296528,2.092018,2.231128,2.262519,2.250476,2.227678,21.189585,19.24651,18.150909,17.650763,17.222607,21.189585,19.24651,18.150909,17.650763,17.222607,20.955742,19.306181,18.17934,17.690392,17.275072
587731513696321743,3.473604,2.325386,2.197792,2.035878,2.098446,8.20053,5.68057,5.724828,5.051016,5.623024,2.353724,2.234676,2.239539,2.270923,2.304553,19.978399,18.780613,18.082493,17.63278,17.34544,19.978399,18.780613,18.082493,17.63278,17.34544,19.465349,18.660465,17.996605,17.619205,17.282549
588015510368157840,10.097156,6.967751,5.689389,5.435567,5.111885,22.00367,15.338399,14.670272,14.638151,14.728275,2.415128,2.401654,2.384005,2.376433,2.367971,18.212473,16.262775,15.276574,14.761365,14.360861,18.212473,16.262775,15.276574,14.761365,14.360861,17.582872,16.103636,15.24701,14.769223,14.404608
587727179011129496,2.001638,2.176788,1.929811,1.873543,1.913898,3.861583,4.695553,4.237092,4.143636,4.389255,1.840119,2.152372,2.251439,2.269452,2.209752,19.671215,18.257929,17.650095,17.293407,17.053406,19.671215,18.257929,17.650095,17.293407,17.053406,19.539722,18.175068,17.649326,17.311789,17.076502
587731512085708970,1.559544,1.37247,1.314043,1.307051,1.305971,3.656389,2.999086,2.76348,2.824163,2.852183,2.050415,2.098781,2.133918,2.159851,2.102355,19.901075,18.836838,18.245487,17.679342,17.549492,19.901075,18.836838,18.245487,17.679342,17.549492,19.755882,18.835554,18.257607,17.69342,17.571424
588015508220674236,2.500358,2.149063,2.064113,1.961355,1.658747,5.441635,4.764111,5.279304,5.091169,3.82531,2.134493,2.226356,2.309474,2.285796,2.314142,20.459831,18.717659,17.572634,16.978622,16.521793,20.459831,18.717659,17.572634,16.978622,16.521793,20.512003,19.040319,17.928631,17.37957,17.057396
588015508220674240,1.760944,1.236448,1.197142,1.167623,1.067392,4.587667,3.480009,3.321407,3.207319,2.512593,1.913492,2.201391,2.223311,2.258019,2.187455,21.139641,19.292486,18.056126,17.508312,17.114124,21.139641,19.292486,18.056126,17.508312,17.114124,20.903048,19.338331,18.140425,17.619213,17.289682
587731513159516405,5.452032,3.372971,3.299549,3.147163,1.925897,9.16625,5.652663,6.256315,6.3092,3.385782,0.651444,2.050331,2.324527,2.384198,2.442987,20.274876,18.892931,17.987526,17.525887,17.189175,20.274876,18.892931,17.987526,17.525887,17.189175,19.724287,18.936649,18.049252,17.603493,17.837191
588015509294416091,5.651848,2.474687,2.192282,2.047962,2.001274,7.373837,5.616763,5.576959,5.279058,5.327684,1.809664,2.29735,2.372545,2.359842,2.281511,21.084633,19.343744,18.310438,17.756496,17.353243,21.084633,19.343744,18.310438,17.756496,17.353243,20.032276,19.16283,18.239557,17.758099,17.375095
