objID,petroR50_u,petroR50_g,petroR50_r,petroR50_i,petroR50_z,petroR90_u,petroR90_g,petroR90_r,petroR90_i,petroR90_z,mCr4_u,mCr4_g,mCr4_r,mCr4_i,mCr4_z,u,g,r,i,z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
587739096987795559,2.384477,1.499827,1.362805,1.315046,1.262365,5.298097,4.22416,3.893941,3.827923,4.02556,2.314489,2.233252,2.237823,2.248322,2.260911,20.67065,18.710085,17.645527,17.211185,16.846428,20.67065,18.710085,17.645527,17.211185,16.846428,20.317478,18.688459,17.673155,17.251812,16.900093
588013384353448200,4.420191,0.87768,1.570242,1.740544,1.246447,5.782051,1.527435,3.641492,4.454091,6.24768,1.443604,2.355442,2.392289,2.434734,2.196595,21.940647,21.272398,19.510851,18.667877,18.304987,21.940647,21.272398,19.510851,18.667877,18.304987,21.032442,22.155809,19.724773,18.7962,18.667336
588013383816577053,2.62737,2.314356,3.104018,2.755359,2.657807,7.525372,5.888893,5.776144,7.126804,6.617993,2.230786,2.02318,1.943942,2.216801,2.20756,18.527262,17.503351,16.181984,15.85691,15.629159,18.527262,17.503351,16.181984,15.85691,15.629159,18.484596,17.643484,16.077541,15.844663,15.634924
587741533325885590,2.427276,1.803854,1.746703,1.628061,1.531315,4.779937,4.59159,4.259996,4.1841,4.360171,2.182791,2.309392,2.31723,2.335313,2.29877,20.188066,18.302353,17.481903,17.071718,16.767809,20.188066,18.302353,17.481903,17.071718,16.767809,19.916485,18.439178,17.665621,17.268677,17.017422
587725039555051613,2.797052,2.978217,2.591743,2.561953,2.551264,7.2764,7.814631,7.714851,7.411095,6.541037,0.78605,2.351839,2.343276,2.377554,2.333792,21.13245,18.710566,17.29479,16.790277,16.434896,21.13245,18.710566,17.29479,16.790277,16.434896,20.894999,18.681667,17.368828,16.843542,16.518724
588295841249427560,1.685048,1.54371,1.672777,1.559287,1.550501,4.520734,4.713826,4.867156,4.703057,4.62111,2.237438,2.231527,2.241927,2.260461,2.268702,19.352438,17.617476,16.735952,16.372501,16.071918,19.352438,17.617476,16.735952,16.372501,16.071918,19.326517,17.654959,16.763548,16.410873,16.110117
587732701263888519,3.250369,2.759981,2.483852,2.224977,2.191279,6.919911,6.629333,6.830775,6.306023,6.460495,2.354262,2.377369,2.397296,2.392375,2.364323,19.296021,18.10239,17.305527,16.910433,16.601967,19.296021,18.10239,17.305527,16.910433,16.601967,19.201862,18.244713,17.529123,17.194714,16.916996
588295840712556715,2.671115,2.368023,2.567358,2.390571,2.09487,10.146449,7.042022,7.886019,7.425101,5.859189,2.279995,2.338228,2.329952,2.327452,2.33121,19.963272,17.952681,16.723066,16.227125,15.85012,19.963272,17.952681,16.723066,16.227125,15.85012,20.08168,18.092047,16.816259,16.351765,16.075426
587726033859182703,1.696188,2.897287,2.58453,2.609115,2.566734,3.708096,8.217975,7.877357,7.98735,7.175451,2.254516,2.459133,2.413493,2.41873,2.4634,19.5028,17.267664,16.231241,15.794725,15.403514,19.5028,17.267664,16.231241,15.794725,15.403514,20.034685,17.333397,16.357632,15.929008,15.548203
587725818560315630,6.128859,2.519103,2.531346,2.4835,2.781307,10.654146,6.886238,7.213918,7.644241,9.001455,0.93953,2.377913,2.375992,2.400998,2.378515,21.101351,18.971802,17.469213,16.903193,16.533445,21.101351,18.971802,17.469213,16.903193,16.533445,20.210365,19.146622,17.613142,17.076015,16.61367
588297864194293924,1.082782,1.385899,1.284829,1.167395,1.188371,1.926723,3.922638,3.779587,3.576323,3.48132,2.15858,2.279795,2.26205,2.266226,2.299388,20.446558,18.74559,17.713488,17.314098,16.990328,20.446558,18.74559,17.713488,17.314098,16.990328,20.76984,18.777325,17.764912,17.384439,17.102591
588017947202945151,1.64605,1.514973,1.423808,1.403199,1.415647,4.449131,4.334434,4.142031,4.119968,3.956664,2.292296,2.300912,2.314425,2.325714,2.291634,19.349857,17.417324,16.562979,16.158936,15.85537,19.349857,17.417324,16.562979,16.158936,15.85537,19.314026,17.481945,16.647398,16.242123,15.953759
587748928703824011,4.353834,2.378945,2.273144,2.178008,2.190617,8.882566,5.459793,5.947457,5.296094,5.342149,1.989291,2.194766,2.218122,2.255604,2.233987,19.693815,18.27178,17.470934,17.028635,16.678087,19.693815,18.27178,17.470934,17.028635,16.678087,19.086592,18.288536,17.46817,17.059729,16.715868
587742061070975095,1.790814,2.082527,2.051122,2.084229,1.937978,3.394358,6.260054,6.420944,6.661619,5.663944,2.304714,2.343407,2.338825,2.335976,2.330011,20.787319,18.806295,17.595097,17.116755,16.796452,20.787319,18.806295,17.595097,17.116755,16.796452,21.029417,18.80323,17.605156,17.119072,16.836597
587732771591356533,1.610339,2.109542,1.945157,1.974694,1.829741,5.837592,7.192034,6.814174,7.073551,6.79628,2.379308,2.297798,2.289491,2.314301,2.281516,20.29178,18.273085,17.241209,16.789671,16.445887,20.29178,18.273085,17.241209,16.789671,16.445887,20.425884,18.183149,17.176931,16.735109,16.447819
587729386078208057,2.943076,3.513428,3.646842,3.810329,3.705469,7.727263,9.388772,9.318556,10.186654,9.797656,2.203614,2.175691,2.20711,2.230647,2.207664,17.948479,17.014908,16.6749,16.512863,16.438841,17.948479,17.014908,16.6749,16.512863,16.438841,18.078409,16.974211,16.631439,16.445845,16.381842
587735696979460188,2.083839,2.125349,2.012062,1.929327,1.907378,4.401892,6.017982,6.019393,5.732887,5.433764,2.452954,2.267028,2.275154,2.289874,2.292235,19.879053,17.892557,16.88393,16.432716,16.069677,19.879053,17.892557,16.88393,16.432716,16.069677,19.906487,17.857208,16.85878,16.467373,16.10685
587738615418585306,-9999,1.738756,1.660566,1.498854,1.281747,-9999,5.76999,5.086819,4.550072,3.315131,1.015221,2.212743,2.307291,2.267534,2.317125,22.589657,20.220423,18.485863,17.886209,17.589872,22.589657,20.220423,18.485863,17.886209,17.589872,26.280256,20.161694,18.49608,17.954134,17.775482
588017567635210284,-9999,1.798935,1.812213,1.816321,1.794539,-9999,5.765862,5.532911,5.530774,5.339829,0.40683,2.293099,2.303841,2.302472,2.299035,21.552019,18.740263,17.521858,17.013588,16.671577,21.552019,18.740263,17.521858,17.013588,16.671577,25.209816,18.805641,17.598755,17.108576,16.778496
587732771591356546,1.779672,1.51612,1.440262,1.497728,1.579656,4.980196,4.181711,3.984059,4.073552,4.569476,2.436058,2.31975,2.35692,2.355119,2.351599,20.385511,18.565918,17.733147,17.350647,17.099445,20.385511,18.565918,17.733147,17.350647,17.099445,20.348398,18.595392,17.778372,17.398653,17.083134
587738948292772080,3.185903,3.072056,2.962408,2.868404,2.970057,9.221027,7.638763,7.32361,6.880154,7.207254,2.078073,2.208965,2.231942,2.244916,2.231926,19.119112,17.892653,17.402393,17.112413,16.954031,19.119112,17.892653,17.402393,17.112413,16.954031,18.983732,17.819996,17.345039,17.100878,16.904957
587735349646852194,4.371499,2.603145,2.358083,2.070694,2.312377,12.572065,6.797399,6.686144,6.233407,7.737924,2.182084,2.377741,2.377197,2.3474,2.365837,19.855604,18.927879,17.714418,17.154621,16.748116,19.855604,18.927879,17.714418,17.154621,16.748116,19.731068,18.94902,17.758741,17.285845,16.805103
587739406243528813,2.037683,1.302867,1.212211,1.206648,1.179468,3.816414,3.256442,3.04776,3.150573,2.957152,2.468564,2.249933,2.263719,2.301799,2.295305,20.54154,18.341604,17.379002,16.955063,16.625088,20.54154,18.341604,17.379002,16.955063,16.625088,20.316254,18.431919,17.490126,17.059635,16.767637
