objID,petroR50_u,petroR50_g,petroR50_r,petroR50_i,petroR50_z,petroR90_u,petroR90_g,petroR90_r,petroR90_i,petroR90_z,mCr4_u,mCr4_g,mCr4_r,mCr4_i,mCr4_z,u,g,r,i,z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
587729227688968255,2.551945,1.805777,1.750252,1.734398,1.616968,6.500888,4.77005,4.916719,4.721889,3.993937,2.254102,2.303985,2.287771,2.319369,2.298349,19.794199,18.109867,17.368425,17.042366,16.804857,19.794199,18.109867,17.368425,17.042366,16.804857,19.584564,18.189287,17.461084,17.147715,16.978365
587729227152359606,2.31025,1.98828,1.985649,1.948575,1.747827,6.748267,6.23961,6.185516,6.125322,5.741285,2.174188,2.281376,2.291124,2.308703,2.255497,19.753473,17.785162,16.777798,16.385246,16.023932,19.753473,17.785162,16.777798,16.385246,16.023932,19.648649,17.821129,16.833504,16.436907,16.15621
587739651034906909,1.578175,2.522323,2.096239,1.967336,1.856461,4.388922,7.717928,7.094668,6.908242,6.654127,2.135144,2.264645,2.317507,2.296547,2.30151,20.308565,18.360844,17.251375,16.779137,16.411783,20.308565,18.360844,17.251375,16.779137,16.411783,20.534515,18.22612,17.209501,16.777643,16.478275
587742611348586502,-9999,-9999,7.267174,1.241105,-9999,-9999,-9999,11.913108,3.466464,-9999,0.455789,2.237094,2.163527,2.193301,2.061539,21.174793,19.9063,18.042376,17.41625,17.030582,21.174793,19.9063,18.042376,17.41625,17.030582,27.435266,29.224531,17.697109,18.397205,24.470331
587742614561751524,4.348554,3.131746,2.913796,2.88731,3.209445,5.942069,7.651105,8.137738,8.073607,8.361019,1.677709,2.432484,2.434163,2.446554,2.41217,20.998224,19.426666,17.819805,17.22521,16.807341,20.998224,19.426666,17.819805,17.22521,16.807341,20.927732,19.462294,17.926508,17.352161,16.88777
587739844319510744,3.812162,4.059672,3.895359,3.80426,3.58401,6.585556,7.635104,7.699069,7.438652,7.091385,2.143233,2.307973,2.419295,2.421466,2.485763,17.844158,16.475172,15.888173,15.495482,15.273856,17.844158,16.475172,15.888173,15.495482,15.273856,17.871738,16.434412,15.863461,15.501336,15.339622
588017703493304824,3.853902,3.600487,3.219333,3.103953,3.503105,8.672875,7.206064,6.443285,6.242833,8.066339,0.477592,2.196655,2.261339,2.312306,2.314613,19.657881,18.397717,17.695053,17.364698,17.11599,19.657881,18.397717,17.695053,17.364698,17.11599,19.422079,18.322561,17.738985,17.436096,17.077082
587736976886661457,5.124615,4.02783,3.20331,3.107766,2.655629,8.951863,9.827003,7.46739,7.739355,6.877243,0.285469,2.370092,2.460789,2.501479,2.491839,19.896353,18.209858,17.218834,16.746782,16.507713,19.896353,18.209858,17.218834,16.746782,16.507713,19.424036,18.353664,17.62224,17.17222,17.073715
587739406803927303,2.118614,1.772145,1.681581,1.613653,1.703496,5.529636,4.177491,4.017478,3.998099,4.512733,2.309591,2.225975,2.294991,2.313481,2.317816,20.234999,18.856647,17.826777,17.318062,16.958698,20.234999,18.856647,17.826777,17.318062,16.958698,19.899721,18.767889,17.768827,17.281166,16.883884
588018055659454817,-9999,0.722148,1.733875,1.718527,1.609257,-9999,1.090639,5.167508,5.522778,4.215643,3.08294,2.163422,2.32233,2.325358,2.414925,22.859243,21.72365,19.840693,18.951298,18.53536,22.859243,21.72365,19.840693,18.951298,18.53536,24.782137,22.800568,19.848799,18.988062,18.639805
587735744226263278,1.77641,1.57749,1.587391,1.570086,1.515569,4.354499,4.722404,4.80514,4.820986,4.515348,2.285603,2.313505,2.316765,2.322017,2.345155,20.002565,18.037416,17.076427,16.616756,16.289841,20.002565,18.037416,17.076427,16.616756,16.289841,19.996395,18.125336,17.159737,16.702751,16.390131
587739406267122009,3.999658,3.577646,3.102498,3.106053,3.233621,7.332928,7.657105,7.089638,7.408378,8.784228,2.185559,2.251046,2.595292,2.602629,2.594748,19.211218,17.545244,16.681255,16.240246,15.909812,19.211218,17.545244,16.681255,16.240246,15.909812,19.040028,17.708332,16.983641,16.549511,16.208864
587739721383084474,9.283066,3.124865,2.610146,2.535304,2.395584,11.260029,9.228179,7.779226,7.577383,6.307601,0.550157,2.389572,2.368754,2.373206,2.339146,21.330988,19.016596,17.651848,17.113079,16.730724,21.330988,19.016596,17.651848,17.113079,16.730724,20.231421,19.047808,17.831881,17.323278,16.992918
587739380996964580,8.066971,3.348012,3.26815,3.955826,3.92093,13.508499,10.672227,9.596316,11.456064,12.040991,2.449782,2.13904,2.110031,2.173027,2.140661,19.914755,18.712786,17.957726,17.490784,17.060514,19.914755,18.712786,17.957726,17.490784,17.060514,18.858734,18.394718,17.669655,17.027546,16.648094
587736752467673368,3.148937,2.803496,2.464312,2.273323,2.075678,6.862989,6.978209,7.012711,6.701359,5.814837,2.549283,2.39111,2.408399,2.426456,2.422826,19.484978,18.056786,17.10931,16.656902,16.345951,19.484978,18.056786,17.10931,16.656902,16.345951,19.372164,18.023493,17.141634,16.755997,16.546972
